id,order_hour,day_of_week,restaurant_type,cuisine_type,distance_km,estimated_delivery_min,order_value_inr,num_items,is_peak_hour,weather_condition,traffic_density,delivery_partner_rating,delivery_partner_orders,restaurant_rating,restaurant_avg_prep_min,is_promo_order,area_type,is_late
14,3,sunday,cafe,indian,11.1,12,1125.0,15,false,clear,moderate,3.3,1552.0,3.7,20.8,false,market,late
15,7,friday,fast_food,dessert,12.1,78,1951.0,7,true,clear,moderate,5.0,1683.0,3.6,5.0,false,residential,late
16,23,wednesday,casual_dining,indian,14.2,51,1810.0,14,false,hot,heavy,4.2,385.0,3.1,19.5,true,commercial,on_time
17,2,monday,cafe,chinese,8.0,71,496.0,4,true,hot,heavy,4.0,4709.0,2.9,9.3,false,college_area,late
18,21,tuesday,fine_dining,healthy,4.2,67,2550.0,2,false,humid,gridlock,3.2,3037.0,3.4,29.5,false,market,late
19,20,tuesday,cloud_kitchen,italian,13.9,66,1478.0,1,false,clear,moderate,3.1,2267.0,3.5,21.6,false,college_area,on_time
20,1,wednesday,fine_dining,other,11.7,10,570.0,12,false,hot,moderate,4.2,4653.0,3.5,12.8,false,highway,on_time
21,23,sunday,cloud_kitchen,other,8.8,82,455.0,6,false,fog,moderate,2.4,2545.0,4.5,30.1,false,college_area,late
22,11,friday,cafe,chinese,10.6,69,2900.0,9,false,clear,heavy,4.2,390.0,4.2,26.6,false,highway,on_time
23,5,friday,fast_food,indian,13.9,78,916.0,10,true,humid,moderate,4.2,2919.0,4.0,19.6,false,residential,on_time
24,1,monday,cafe,pizza_burger,10.8,68,2735.0,5,false,heavy_rain,moderate,4.8,2114.0,3.8,9.5,false,commercial,late
25,20,sunday,cafe,south_indian,5.8,55,1290.0,12,true,humid,moderate,4.5,1143.0,3.4,13.6,false,market,on_time
26,0,saturday,cafe,indian,10.8,43,1219.0,2,false,humid,heavy,4.6,746.0,3.2,13.4,false,college_area,late
27,11,monday,casual_dining,pizza_burger,1.1,34,2132.0,1,true,clear,low,3.4,1731.0,3.0,29.5,false,residential,on_time
28,21,saturday,casual_dining,indian,6.1,51,128.0,3,true,heavy_rain,moderate,2.8,4123.0,3.3,5.2,false,highway,on_time
29,11,friday,casual_dining,healthy,6.4,38,1080.0,4,false,light_rain,low,4.0,4386.0,3.7,21.5,false,residential,on_time
30,16,monday,casual_dining,indian,2.9,34,977.0,7,false,hot,gridlock,4.1,4124.0,3.0,19.5,false,market,on_time
31,9,thursday,fast_food,indian,0.8,63,2617.0,9,true,heavy_rain,low,4.5,3231.0,3.8,32.4,false,college_area,on_time
32,15,friday,cloud_kitchen,indian,2.4,82,1634.0,8,false,hot,heavy,4.8,3217.0,3.6,24.3,false,commercial,on_time
33,14,tuesday,fast_food,other,10.0,76,1157.0,9,false,clear,heavy,3.0,2515.0,3.5,27.4,false,college_area,on_time
34,14,sunday,fast_food,pizza_burger,12.1,24,871.0,7,true,hot,heavy,4.4,1770.0,4.4,16.7,false,market,on_time
35,18,sunday,casual_dining,dessert,14.8,13,1812.0,10,false,clear,heavy,2.2,108.0,2.2,9.7,true,residential,on_time
36,11,saturday,cafe,italian,5.5,47,539.0,8,false,clear,moderate,4.0,2545.0,3.5,18.7,true,residential,on_time
37,22,thursday,casual_dining,italian,9.2,29,813.0,8,true,hot,moderate,4.3,2487.0,3.6,29.8,false,college_area,on_time
38,19,thursday,fast_food,chinese,14.1,32,951.0,1,false,clear,moderate,2.7,4299.0,3.8,29.7,false,commercial,late
39,2,saturday,cafe,south_indian,2.9,46,1863.0,12,false,clear,heavy,4.2,777.0,4.2,17.7,false,residential,on_time
40,4,friday,casual_dining,biryani,10.9,71,1182.0,14,false,clear,gridlock,3.1,1934.0,2.9,13.4,false,residential,on_time
41,18,monday,fine_dining,pizza_burger,11.4,17,1566.0,15,false,light_rain,gridlock,3.5,438.0,3.6,11.4,false,commercial,on_time
42,6,friday,fine_dining,chinese,1.8,46,1986.0,12,true,clear,heavy,4.4,1035.0,2.7,20.6,false,college_area,on_time
43,20,saturday,casual_dining,other,13.0,54,2873.0,15,true,hot,gridlock,3.6,837.0,3.7,23.4,false,highway,late
44,8,thursday,casual_dining,indian,12.3,42,2318.0,9,false,hot,gridlock,3.6,4703.0,3.5,36.7,false,market,on_time
45,6,monday,cloud_kitchen,other,1.0,16,1275.0,2,false,clear,heavy,4.0,642.0,3.5,23.2,false,commercial,on_time
46,17,saturday,fast_food,indian,1.8,31,2270.0,12,true,light_rain,moderate,4.4,3175.0,3.5,28.1,false,college_area,late
47,3,tuesday,casual_dining,south_indian,1.2,14,2854.0,11,false,clear,moderate,3.8,1809.0,3.1,14.2,false,commercial,on_time
48,13,wednesday,casual_dining,italian,5.4,24,1548.0,14,false,fog,gridlock,4.9,3876.0,4.4,22.4,false,college_area,late
49,17,tuesday,fine_dining,south_indian,7.9,30,1290.0,7,true,light_rain,heavy,3.6,643.0,3.9,23.4,false,market,late
50,8,wednesday,fast_food,biryani,8.2,26,325.0,13,true,clear,heavy,4.7,703.0,3.0,20.6,false,residential,late
51,20,saturday,cafe,south_indian,4.4,65,2688.0,10,false,clear,low,4.2,2849.0,3.3,21.8,false,college_area,late
52,1,friday,cloud_kitchen,south_indian,13.7,59,814.0,10,false,clear,low,4.3,2918.0,3.2,23.3,false,college_area,on_time
53,19,tuesday,casual_dining,pizza_burger,5.8,16,285.0,13,false,hot,moderate,3.0,3613.0,4.5,26.8,false,highway,on_time
54,14,sunday,fast_food,pizza_burger,1.2,59,1657.0,5,false,clear,low,4.7,1723.0,4.1,33.7,true,market,on_time
55,6,sunday,fine_dining,dessert,4.9,69,2553.0,4,true,clear,gridlock,3.9,849.0,3.6,5.0,false,residential,late
56,11,sunday,casual_dining,chinese,8.2,16,1279.0,1,false,clear,moderate,4.0,2555.0,4.7,33.1,false,highway,on_time
57,7,tuesday,cafe,biryani,6.4,49,2371.0,1,true,humid,heavy,4.0,1463.0,4.6,5.0,true,college_area,late
58,14,thursday,fast_food,biryani,4.5,54,2525.0,3,false,hot,low,3.8,3830.0,3.6,25.1,false,market,on_time
59,2,sunday,casual_dining,italian,2.4,68,1417.0,14,false,clear,low,3.4,3783.0,3.5,45.6,false,commercial,on_time
60,13,saturday,casual_dining,south_indian,12.4,84,1813.0,15,false,clear,moderate,3.8,511.0,3.5,21.6,true,market,late
61,16,monday,fast_food,chinese,14.9,64,1648.0,1,false,humid,gridlock,4.8,2157.0,3.1,23.8,false,residential,late
62,3,monday,fast_food,indian,5.3,73,2824.0,8,true,clear,heavy,4.3,2920.0,4.7,18.9,false,residential,on_time
63,17,thursday,cloud_kitchen,chinese,6.0,74,2204.0,3,false,humid,heavy,4.0,2545.0,3.1,28.7,false,commercial,on_time
64,7,sunday,fast_food,indian,9.5,63,1417.0,11,false,clear,gridlock,4.4,2951.0,4.2,25.6,false,residential,late
65,3,friday,fast_food,pizza_burger,10.9,49,737.0,10,true,clear,gridlock,3.5,3961.0,4.1,15.2,false,college_area,late
66,1,friday,casual_dining,pizza_burger,6.2,62,999.0,2,true,hot,moderate,3.4,1238.0,3.5,20.9,true,market,on_time
67,5,monday,cloud_kitchen,other,13.6,53,305.0,6,false,fog,moderate,3.4,1481.0,4.8,10.8,false,commercial,on_time
68,21,saturday,fast_food,pizza_burger,8.6,72,1549.0,4,false,humid,moderate,4.5,2466.0,2.8,20.8,false,residential,on_time
69,9,sunday,cafe,indian,7.0,11,2634.0,13,true,hot,low,4.6,2011.0,3.7,17.8,false,residential,on_time
70,3,thursday,fast_food,healthy,9.9,88,1047.0,13,true,light_rain,moderate,3.2,4758.0,3.4,23.4,false,residential,late
71,21,saturday,fast_food,healthy,14.3,30,471.0,14,false,fog,moderate,3.3,2736.0,4.3,14.9,true,market,late
72,17,sunday,fast_food,south_indian,12.0,59,298.0,11,true,hot,low,3.7,4200.0,3.9,19.9,false,market,on_time
73,11,tuesday,cloud_kitchen,biryani,1.1,90,1397.0,14,false,heavy_rain,gridlock,3.1,2760.0,3.6,22.1,false,market,on_time
74,1,friday,fast_food,other,5.3,61,575.0,13,false,clear,heavy,4.0,578.0,4.4,22.8,true,market,late
75,9,wednesday,fast_food,biryani,7.3,18,1103.0,11,false,clear,moderate,4.8,3497.0,4.0,24.7,false,market,on_time
76,3,saturday,casual_dining,healthy,5.1,29,2478.0,13,false,clear,heavy,4.1,819.0,3.1,20.3,true,residential,on_time
77,13,friday,cloud_kitchen,indian,10.7,27,1213.0,4,false,hot,heavy,4.5,4175.0,3.5,14.1,true,college_area,on_time
78,15,saturday,fast_food,indian,12.5,39,1868.0,2,false,light_rain,moderate,2.9,1890.0,2.9,22.8,true,market,late
79,14,saturday,casual_dining,south_indian,11.1,74,1556.0,2,true,clear,heavy,3.4,559.0,3.6,20.2,false,college_area,on_time
80,7,thursday,fast_food,biryani,14.8,33,2183.0,11,true,hot,moderate,2.5,2545.0,3.8,32.2,false,highway,late
